Date,Covid-19 Cases- Fully vaccinated,Total Vaccinated,Total Cases
2021-08-09,1,650135,5907
2021-08-10,0,652086,5908
2021-08-11,0,654766,5911
2021-08-12,1,657205,5918
2021-08-13,0,657205,5920
2021-08-14,0,657205,5920
2021-08-15,0,657205,5920
2021-08-16,1,661853,5928
2021-08-17,0,662915,5929
2021-08-18,1,665349,5938
2021-08-19,1,668653,5946
2021-08-20,1,671921,5956
2021-08-21,0,671921,5956
2021-08-22,0,671921,5956
2021-08-23,2,671921,5973
2021-08-24,1,675669,5982
2021-08-25,0,678570,5989
2021-08-26,0,682370,5990
2021-08-27,1,685346,5999
2021-08-28,0,685346,5999
2021-08-29,0,685346,5999
2021-08-30,4,687683,6030
2021-08-31,0,688726,6031
2021-09-01,1,690154,6038
2021-09-02,0,692191,6042
2021-09-03,1,693714,6047
2021-09-04,0,693714,6047
2021-09-05,0,693714,6047
2021-09-06,0,693714,6047
2021-09-07,3,695524,6076
2021-09-08,2,696782,6090
2021-09-09,3,699324,6107
2021-09-10,1,701708,6117
2021-09-11,0,701708,6117
2021-09-12,0,701708,6117
2021-09-13,8,704637,6188
2021-09-14,7,706246,6254
2021-09-15,1,707887,6260
2021-09-16,4,709884,6294
2021-09-17,2,711312,6312
2021-09-18,0,711312,6312
2021-09-19,0,711312,6312
2021-09-20,6,714101,6367
2021-09-21,3,715136,6392
2021-09-22,2,716551,6411
2021-09-23,5,718279,6452
2021-09-24,4,719820,6486
2021-09-25,0,719820,6486
2021-09-26,0,719820,6486
2021-09-27,9,721906,6569
2021-09-28,3,723167,6598
2021-09-29,5,724772,6638
2021-09-30,0,724772,6638
2021-10-01,9,728168,6715
2021-10-02,0,728168,6715
2021-10-03,0,728168,6715
2021-10-04,10,730126,6800
2021-10-05,4,732150,6839
2021-10-06,3,734248,6864
2021-10-07,3,736190,6893
2021-10-08,3,737561,6918
2021-10-09,0,737561,6918
2021-10-10,0,737561,6918
2021-10-11,0,737561,6918
2021-10-12,11,739458,7011
2021-10-13,2,742288,7033
2021-10-14,3,744006,7059
2021-10-15,2,745517,7077
2021-10-16,0,745517,7077
2021-10-17,0,745517,7077
2021-10-18,8,747632,7149
2021-10-19,1,749078,7161
2021-10-20,1,750349,7166
2021-10-21,2,751916,7185
2021-10-22,3,753331,7208
2021-10-23,0,753331,7208
2021-10-24,0,753331,7208
2021-10-25,6,755858,7265
2021-10-26,1,756880,7272
2021-10-27,3,758429,7298
2021-10-28,3,759771,7328
2021-10-29,3,761334,7354
2021-10-30,0,761334,7354
2021-10-31,0,761334,7354
2021-11-01,7,763311,7413
2021-11-02,1,763954,7424
2021-11-03,4,764967,7462
2021-11-04,6,766001,7512
2021-11-05,4,767200,7550
2021-11-06,0,767200,7550
2021-11-07,0,767200,7550
2021-11-08,13,768658,7661
2021-11-09,6,769498,7717
2021-11-10,3,770891,7746
2021-11-11,0,770891,7746
2021-11-12,8,772138,7815
2021-11-13,0,772138,7815
2021-11-14,0,772138,7815
2021-11-15,11,773294,7913
2021-11-16,4,774025,7944
2021-11-17,2,783666,7963
2021-11-18,2,784644,7985
2021-11-19,3,785380,8012
2021-11-20,0,785380,8012
2021-11-21,0,785380,8012
2021-11-22,7,785380,8072
2021-11-23,3,785380,8100
2021-11-24,2,787353,8119
2021-11-25,2,788242,8141
2021-11-26,3,788942,8169
2021-11-27,0,788942,8169
2021-11-28,0,788942,8169
2021-11-29,7,789898,8227
2021-11-30,7,790742,8288
2021-12-01,4,791542,8322
2021-12-02,5,792716,8362
2021-12-03,2,793402,8381
2021-12-04,0,793402,8381
2021-12-05,0,793402,8381
2021-12-06,5,793954,8427
2021-12-07,0,793905,8427
2021-12-08,6,796117,8481
2021-12-09,6,796117,8532
2021-12-10,7,790288,8591
2021-12-11,15,790288,8720
2021-12-12,13,790288,8831
2021-12-13,0,790288,8831